Name,Load,Date,Hour,Day,IsWeekend,Month,Season,newYearsDay,newYearsDayObserved,martinLutherKingJrDay,washingtonsBirthday,memorialDay,juneteenthNationalIndependenceDay,independenceDay,laborDay,columbusDay,veteransDayObserved,veteransDay,thanksgivingDay,christmasDay,newYearsEve,christmasEve,valentinesDay,halloween,thanksgiving,blackFriday,cyberMonday,easter
N.Y.C.,6623.7,2005-02-03,14,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6747.3,2005-02-03,15,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6775.3,2005-02-03,16,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6732.4,2005-02-03,17,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6716.6,2005-02-03,18,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6711.8,2005-02-03,19,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6789.8,2005-02-03,20,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6911.5,2005-02-03,21,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,7067.5,2005-02-03,22,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6957.9,2005-02-03,23,Thursday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6756.1,2005-02-04,0,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6483.8,2005-02-04,1,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6198.3,2005-02-04,2,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5817.3,2005-02-04,3,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5314.5,2005-02-04,4,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4885.8,2005-02-04,5,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4637.2,2005-02-04,6,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4498.3,2005-02-04,7,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4436.4,2005-02-04,8,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4456.0,2005-02-04,9,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4730.9,2005-02-04,10,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5347.3,2005-02-04,11,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5994.0,2005-02-04,12,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6355.5,2005-02-04,13,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6652.9,2005-02-04,14,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6731.5,2005-02-04,15,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6778.2,2005-02-04,16,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6751.1,2005-02-04,17,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6690.3,2005-02-04,18,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6631.8,2005-02-04,19,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6596.6,2005-02-04,20,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6620.3,2005-02-04,21,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6768.3,2005-02-04,22,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6712.5,2005-02-04,23,Friday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6490.6,2005-02-05,0,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,6253.6,2005-02-05,1,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5992.4,2005-02-05,2,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5674.6,2005-02-05,3,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5283.1,2005-02-05,4,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4873.4,2005-02-05,5,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4627.9,2005-02-05,6,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4458.3,2005-02-05,7,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4356.3,2005-02-05,8,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4325.8,2005-02-05,9,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4411.0,2005-02-05,10,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4596.1,2005-02-05,11,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4786.1,2005-02-05,12,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5094.6,2005-02-05,13,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5385.6,2005-02-05,14,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5564.6,2005-02-05,15,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5439.3,2005-02-05,16,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5280.1,2005-02-05,17,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5220.2,2005-02-05,18,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5177.8,2005-02-05,19,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5152.6,2005-02-05,20,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5176.0,2005-02-05,21,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
